"CAPKO_1" "CAPKO_2" "CAPKO_3" "CAPKO_4" "CAPKO_5" "WT_1" "WT_2" "WT_3" "WT_4" "WT_5"
"PBANKA_1327061" 88 32 36 102 1 269 311 529 320 367
"PBANKA_1327080" 10 7 9 15 1 30 60 74 37 46
"PBANKA_1327100" 117 66 67 170 18 274 197 439 714 346
"PBANKA_1327200" 179 88 92 221 24 509 516 612 484 425
"PBANKA_1327251" 1568 687 651 1433 255 4118 4204 4548 6634 3849
"PBANKA_1327300" 8338 3518 3482 6403 1415 21047 18253 20619 25393 23989
"PBANKA_1327400" 962 328 259 769 118 1912 1951 1583 937 667
"PBANKA_1327500" 140 65 56 170 15 273 267 328 339 298
"PBANKA_1327600" 89 38 51 107 7 132 79 148 177 73
"PBANKA_1327700" 192 97 104 171 16 377 382 458 619 453
"PBANKA_1327800" 683 326 301 603 142 1316 1184 1438 1952 1678
"PBANKA_1327900" 1000 237 216 795 79 1758 2047 1190 605 339
"PBANKA_1328000" 656 207 188 506 67 2224 2070 2014 1402 755
"PBANKA_1328100" 1093 474 485 1185 176 2056 1933 1648 2196 1779
"PBANKA_1328200" 55 20 20 40 4 158 144 212 202 236
"PBANKA_1328300" 1811 784 641 1521 317 3754 3603 3056 3028 1982
"PBANKA_1328400" 1026 464 450 1018 184 2252 2203 2802 2766 4134
"PBANKA_1328500" 83 43 60 83 4 382 348 413 257 259
"PBANKA_1328600" 179 53 60 173 20 581 525 590 412 350
"PBANKA_1328700" 577 216 219 529 77 1216 1046 1131 946 826
"PBANKA_1328800" 592 219 243 493 110 907 814 754 1316 1208
"PBANKA_1328900" 43 27 41 74 11 48 66 79 40 36
"PBANKA_1329000" 125 41 33 85 6 95 96 121 82 153
"PBANKA_1329100" 1799 588 401 1138 222 163 307 376 307 486
"PBANKA_1329200" 326 118 98 313 23 262 369 361 310 130
"PBANKA_1329300" 15051 7740 6116 10465 3669 22580 20682 20013 33127 32352
"PBANKA_1329400" 1024 442 271 775 117 39 111 111 131 158
"PBANKA_1329500" 902 351 257 573 133 663 752 1225 1146 2176
"PBANKA_1329600" 705 197 166 493 68 1232 1251 1213 1015 650
"PBANKA_1329700" 5539 1767 1532 4525 871 8573 8786 8341 5743 6111
"PBANKA_1329800" 209 78 92 209 30 532 423 475 442 179
"PBANKA_1329900" 596 179 116 385 55 22 75 65 67 88
"PBANKA_1330000" 2 3 5 13 0 4 1 5 4 2
"PBANKA_1330100" 341 140 157 347 87 1127 935 1242 1717 1194
"PBANKA_1330200" 37 27 18 53 6 72 138 98 90 32
"PBANKA_1330300" 270 64 78 212 29 566 533 504 311 256
"PBANKA_1330400" 148 62 70 178 12 366 316 415 325 250
"PBANKA_1330500" 122 76 72 188 33 306 300 342 315 267
"PBANKA_1330600" 324 139 142 287 46 897 878 1245 821 1242
"PBANKA_1330700" 181 83 76 186 32 343 369 435 361 382
"PBANKA_1330800" 546 200 181 482 64 1334 1360 1704 1257 1241
"PBANKA_1330900" 58 21 3 46 6 16 28 32 11 19
"PBANKA_1331000" 101 40 52 101 20 300 223 289 255 317
"PBANKA_1331100" 232 107 101 217 48 679 757 1096 1162 1885
"PBANKA_1331200" 327 102 77 355 34 916 919 893 406 312
"PBANKA_1331300" 148 59 42 153 18 47 65 75 44 47
"PBANKA_1331400" 6686 1703 1457 4534 733 13634 16827 9209 4325 2294
"PBANKA_1331500" 35 16 21 57 4 170 180 240 98 79
"PBANKA_1331600" 23 17 4 44 2 33 30 25 24 18
"PBANKA_1331700" 30 10 11 28 3 17 7 73 71 65
"PBANKA_1331800" 559 246 256 553 105 1559 1385 2272 2191 3586
"PBANKA_1331900" 9993 4860 4232 7108 2138 19108 18061 19325 26917 22505
"PBANKA_1332000" 2804 865 887 2300 328 5477 5712 4369 3175 1770
"PBANKA_1332100" 971 308 336 952 81 2436 2568 2406 1586 868
"PBANKA_1332200" 216 92 93 222 26 457 495 555 646 607
"PBANKA_1332300" 23 13 20 35 0 93 82 117 84 71
"PBANKA_1332400" 533 166 154 317 66 1149 1262 1811 1608 2684
"PBANKA_1332500" 411 216 219 449 33 1302 1236 1579 1647 1175
"PBANKA_1332600" 292 122 124 334 53 860 932 1172 780 676
"PBANKA_1332700" 171 65 64 195 63 657 685 1524 1449 913
"PBANKA_1332800" 506 137 77 272 50 209 285 192 96 87
"PBANKA_1332900" 52 38 39 115 2 210 238 409 227 305
"PBANKA_1333000" 127 47 25 170 2 421 370 474 334 363
"PBANKA_1333100" 45 24 26 61 4 84 75 103 66 59
"PBANKA_1333200" 98 53 42 156 9 508 523 730 535 640
"PBANKA_1333300" 612 203 264 539 90 1266 1216 1242 1282 899
"PBANKA_1333400" 142 48 72 140 10 237 241 315 281 160
"PBANKA_1333500" 229 85 77 235 26 733 627 938 906 861
"PBANKA_1333600" 181 81 87 175 47 448 398 764 619 895
"PBANKA_1333700" 1140 272 280 980 91 60 184 165 117 51
"PBANKA_1333800" 663 333 290 745 91 1637 1580 2115 1809 1627
"PBANKA_1333900" 393 113 163 414 44 681 801 826 648 531
"PBANKA_1334000" 188 75 62 209 9 777 996 986 506 312
"PBANKA_1334100" 1008 458 491 966 153 2239 2409 2933 2904 4103
"PBANKA_1334200" 897 484 434 911 162 2034 1782 2018 2429 1223
"PBANKA_1334300" 7828 3445 4010 8699 1132 16205 16524 16239 22309 16036
"PBANKA_1334400" 1226 571 495 1251 236 3634 3605 3650 3438 2979
"PBANKA_1334500" 183 58 58 184 16 245 253 287 287 228
"PBANKA_1334600" 693 292 328 682 129 1892 2053 2514 2936 1817
"PBANKA_1334700" 745 218 199 523 42 38 117 110 133 116
"PBANKA_1334800" 1992 503 188 1197 159 51 187 96 55 27
"PBANKA_1334900" 1344 297 176 962 77 55 148 61 42 33
"PBANKA_1335000" 677 251 175 609 65 18 99 71 113 78
"PBANKA_1335100" 74 35 25 96 3 381 492 412 104 98
"PBANKA_1335200" 342 126 160 408 44 871 755 915 926 658
"PBANKA_1335300" 502 215 250 501 88 1541 1454 1862 1996 1837
"PBANKA_1335400" 441 113 156 415 53 857 945 929 661 432
"PBANKA_1335500" 481 241 259 570 52 1463 1241 1532 1605 1212
"PBANKA_1335600" 21 15 12 29 4 30 50 54 33 40
"PBANKA_1335700" 78 60 44 93 18 4 12 26 23 15
"PBANKA_1335800" 92 54 44 93 7 227 279 481 376 393
"PBANKA_1335900" 688 261 226 558 93 1667 1695 2471 2133 2636
"PBANKA_1336000" 328 109 139 277 52 679 719 795 620 730
"PBANKA_1336100" 266 91 128 282 52 396 344 332 348 360
"PBANKA_1336200" 112 68 57 136 23 8 17 25 20 5
"PBANKA_1336300" 116 37 59 175 24 502 576 882 517 460
"PBANKA_1336400" 404 142 202 471 57 676 696 835 786 764
"PBANKA_1336500" 125 40 27 88 19 310 357 337 161 108
"PBANKA_1336600" 136 41 49 103 14 52 77 96 67 57
"PBANKA_1336700" 408 176 187 449 37 1198 1139 1130 1192 788
"PBANKA_1336800" 21 11 18 31 12 47 39 45 48 53
"PBANKA_1336900" 48 20 22 76 6 34 70 90 117 86
"PBANKA_1337000" 156 56 56 206 10 365 353 424 398 161
"PBANKA_1337100" 6599 1974 1477 4238 910 11942 12222 7100 4091 2463
"PBANKA_1337200" 732 283 340 710 131 2004 1645 2127 2734 2393
"PBANKA_1337300" 580 282 215 447 153 826 623 611 975 841
"PBANKA_1337400" 358 153 153 423 58 1104 1064 1352 1213 1078
"PBANKA_1337500" 248 93 75 212 27 517 657 709 309 286
"PBANKA_1337600" 256 91 57 195 31 243 239 236 200 209
"PBANKA_1337700" 33 8 3 30 0 38 35 56 19 36
"PBANKA_1337800" 253 101 175 342 39 817 857 1066 746 683
"PBANKA_1337900" 34 16 10 34 6 65 98 134 70 65
"PBANKA_1338000" 122 74 55 157 13 263 266 367 338 410
"PBANKA_1338100" 2191 901 448 1240 289 74 218 241 374 405
"PBANKA_1338200" 40 13 4 47 9 10 23 39 33 51
"PBANKA_1338300" 3742 1810 1879 4002 559 5886 5907 6465 8793 7286
"PBANKA_1338400" 703 333 359 634 115 1682 1533 1838 2236 1778
"PBANKA_1338500" 36 6 19 28 4 65 95 136 71 68
"PBANKA_1338600" 4528 2127 2463 5580 719 7939 8405 10324 11495 7935
"PBANKA_1338700" 536 212 181 436 47 1030 1100 1611 1684 1546
"PBANKA_1338800" 469 180 205 458 44 1328 1134 1544 1289 1217
"PBANKA_1338900" 4872 1775 1017 2733 638 495 776 1566 2530 2243
"PBANKA_1339000" 363 116 85 247 27 978 1178 1318 917 800
"PBANKA_1339100" 79 38 39 96 8 197 233 253 233 162
"PBANKA_1339200" 38 24 8 47 7 94 118 127 85 53
"PBANKA_1339300" 137 36 48 89 17 214 303 558 618 824
"PBANKA_1339400" 255 111 165 384 34 810 839 995 814 496
"PBANKA_1339500" 37 14 6 57 6 125 98 95 34 35
"PBANKA_1339600" 438 209 164 483 48 750 827 996 936 884
"PBANKA_1339700" 177 68 39 170 20 383 459 497 273 297
"PBANKA_1339800" 22 12 11 27 1 61 81 131 87 86
"PBANKA_1339900" 969 499 447 790 168 2426 2100 2459 3078 3164
"PBANKA_1340000" 654 268 301 594 115 1158 1081 1218 1088 995
"PBANKA_1340100" 35540 18303 16106 30154 7106 47046 43123 39040 58535 45204
"PBANKA_1340200" 116 44 48 118 45 202 236 263 238 333
"PBANKA_1340300" 1596 696 712 1292 252 2690 3039 2898 3597 2555
"PBANKA_1340400" 851 549 347 883 252 62 58 50 71 101
"PBANKA_1340500" 161 27 28 88 15 191 330 258 141 136
"PBANKA_1340600" 211 88 99 242 20 493 494 594 427 439
"PBANKA_1340700" 65 17 12 47 7 86 87 157 151 222
"PBANKA_1340800" 108 31 23 54 25 110 98 146 157 381
"PBANKA_1340900" 27 4 1 17 0 31 35 41 2 16
"PBANKA_1341000" 107 30 38 78 11 228 445 312 197 148
"PBANKA_1341100" 728 267 255 688 75 1536 1542 2356 2197 3309
"PBANKA_1341200" 300 121 109 271 70 748 619 871 717 928
"PBANKA_1341300" 59 20 22 50 0 190 210 256 113 88
"PBANKA_1341400" 24 18 1 26 1 45 39 43 41 12
"PBANKA_1341500" 2703 1161 1265 2472 439 6681 5782 6139 6340 4728
"PBANKA_1341600" 474 197 213 423 89 1084 1084 1256 1362 1487
"PBANKA_1341700" 34 17 11 45 1 29 28 47 23 22
"PBANKA_1341800" 416 123 109 347 28 869 1129 1018 413 352
"PBANKA_1341900" 88 42 72 112 13 344 418 548 309 201
"PBANKA_1342000" 57 22 37 96 2 204 252 322 240 194
"PBANKA_1342100" 34 3 13 26 1 53 46 54 43 43
"PBANKA_1342200" 51 9 22 54 2 99 133 155 160 75
"PBANKA_1342400" 132 97 82 208 20 468 547 749 652 495
"PBANKA_1342500" 2245 500 252 1145 132 269 472 333 187 94
"PBANKA_1342600" 16 15 8 35 5 49 49 83 25 49
"PBANKA_1342700" 8 2 1 9 0 20 19 35 12 8
"PBANKA_1342800" 98 43 96 122 7 240 282 383 359 192
"PBANKA_1342900" 13 7 7 36 5 58 82 72 31 33
"PBANKA_1343000" 2437 1191 1111 2194 426 5338 4397 4506 6072 3668
"PBANKA_1343100" 11 6 1 22 4 2 3 12 7 6
"PBANKA_1343200" 520 150 110 436 35 794 1003 699 256 159
"PBANKA_1343300" 6527 2671 2288 3891 1383 12368 11412 12270 15078 23754
"PBANKA_1343400" 72 24 24 69 3 114 143 179 50 35
"PBANKA_1343500" 14 26 12 28 0 21 30 169 182 65
"PBANKA_1343600" 107 39 44 141 6 271 164 199 173 109
"PBANKA_1343700" 179 94 58 261 18 190 162 213 295 124
"PBANKA_1343800" 150 91 80 139 46 407 431 565 639 679
"PBANKA_1343900" 126 50 58 127 11 209 200 188 190 129
"PBANKA_1344000" 1090 373 258 889 129 1569 1573 1113 750 367
"PBANKA_1344100" 385 98 73 290 41 523 577 592 387 366
"PBANKA_1344200" 38 26 9 48 3 67 52 90 61 40
"PBANKA_1344300" 597 227 189 483 72 1301 1540 2685 2038 3286
"PBANKA_1344400" 43 26 17 31 0 131 153 587 613 329
"PBANKA_1344500" 2070 680 464 1533 253 6098 6997 5910 3169 1777
"PBANKA_1344600" 128 66 73 220 9 515 526 678 422 290
"PBANKA_1344700" 12 12 6 40 5 14 19 21 49 6
"PBANKA_1344800" 55 24 58 85 16 144 179 204 194 98
"PBANKA_1344900" 53 51 58 137 2 306 405 407 433 183
"PBANKA_1345000" 417 165 191 432 96 946 861 1183 1128 1596
"PBANKA_1345100" 31 12 24 66 3 166 174 283 168 57
"PBANKA_1345200" 38 16 15 48 6 195 142 258 158 191
"PBANKA_1345300" 389 156 191 438 29 1065 1031 1656 1391 1168
"PBANKA_1345400" 737 371 445 968 127 2152 2259 3330 3252 3452
"PBANKA_1345500" 549 191 176 483 71 671 584 604 586 659
"PBANKA_1345600" 1214 476 504 1159 167 2600 1981 2745 2439 2832
"PBANKA_1345700" 169 95 87 187 20 292 414 575 343 547
"PBANKA_1345800" 847 322 392 955 88 1863 2016 2185 1687 635
"PBANKA_1345900" 33 21 9 26 1 50 50 120 108 85
"PBANKA_1346000" 216 50 75 156 44 403 407 563 340 329
"PBANKA_1346100" 359 141 145 383 37 1106 1212 1379 1465 975
"PBANKA_1346200" 860 355 313 680 137 891 952 996 1263 2196
"PBANKA_1346300" 682 260 176 637 38 118 222 164 185 178
"PBANKA_1346400" 112 24 26 98 8 121 160 295 242 158
"PBANKA_1346500" 267 146 95 285 85 509 488 673 805 1569
"PBANKA_1346600" 1817 540 593 1777 200 3546 3678 3974 2442 1863
"PBANKA_1346700" 5885 2731 2214 4405 988 10529 10234 10672 16061 15376
"PBANKA_1346800" 1075 453 404 989 169 2767 2766 3785 4036 4474
"PBANKA_1346900" 19 7 1 11 3 21 13 31 19 24
"PBANKA_1347000" 455 122 59 260 37 155 219 521 640 245
"PBANKA_1347100" 232 89 169 259 36 641 643 928 906 767
"PBANKA_1347200" 114 65 87 204 18 323 340 439 236 105
"PBANKA_1347300" 336 184 168 330 54 784 753 875 1052 817
"PBANKA_1347400" 153 45 80 219 32 418 527 686 575 442
"PBANKA_1347500" 213 99 118 246 25 696 669 729 766 540
"PBANKA_1347600" 1383 660 513 941 256 3089 2678 2960 3906 4084
"PBANKA_1347700" 1370 435 416 1226 175 3317 3624 3456 2126 1492
"PBANKA_1347800" 1224 565 541 1048 239 2589 2223 2651 3091 3235
"PBANKA_1347900" 251 70 91 294 26 599 728 849 397 398
"PBANKA_1348000" 378 191 194 372 57 946 896 1169 1270 1331
"PBANKA_1348100" 193 87 110 258 34 743 633 784 815 463
"PBANKA_1348200" 169 64 86 204 13 459 490 564 452 220
"PBANKA_1348300" 699 257 220 560 88 1550 1586 1697 1346 827
"PBANKA_1348400" 505 158 151 359 91 984 1119 1804 1695 2969
"PBANKA_1348500" 703 283 312 702 109 1257 1144 1105 1347 1059
"PBANKA_1348600" 130 51 53 104 11 428 505 608 351 295
"PBANKA_1348700" 48 23 21 85 3 100 118 267 154 117
"PBANKA_1348800" 53 34 29 96 7 135 216 255 138 112
"PBANKA_1348900" 614 220 289 964 43 1405 1468 1610 894 407
"PBANKA_1349000" 219 61 54 135 43 1720 1973 5922 10119 9969
"PBANKA_1349100" 166 88 60 111 41 502 502 1583 3168 2147
"PBANKA_1349200" 4961 2302 2244 4467 860 11330 9446 11224 15890 13897
"PBANKA_1349300" 89 65 36 103 12 28 25 77 66 60
"PBANKA_1349400" 38 22 11 39 6 6 18 4 6 2
"PBANKA_1349500" 370 155 211 398 60 993 806 1018 1470 1026
"PBANKA_1349600" 231 77 73 254 18 933 948 953 325 348
"PBANKA_1349700" 244 108 80 360 20 915 1021 1165 823 563
"PBANKA_1349800" 197 86 72 149 35 735 680 742 807 937
"PBANKA_1349900" 1038 471 457 946 158 3865 3830 5121 5130 4459
"PBANKA_1350000" 185 81 98 167 31 529 551 831 694 1059
"PBANKA_1350100" 189 55 116 244 30 686 490 641 515 348
"PBANKA_1350200" 42 21 14 68 2 123 89 66 85 27
"PBANKA_1350300" 430 176 180 485 60 771 756 901 863 930
"PBANKA_1350400" 374 126 106 242 60 403 389 481 708 1207
"PBANKA_1350500" 467 219 188 424 80 1149 922 1411 1612 2091
"PBANKA_1350600" 782 370 426 935 111 1983 1899 2108 1971 1258
"PBANKA_1350700" 739 330 307 785 109 1882 1973 2313 1966 1514
"PBANKA_1350800" 210 56 78 204 27 526 364 478 365 334
"PBANKA_1350900" 284 133 112 305 65 728 702 822 795 1059
"PBANKA_1351000" 410 101 124 428 55 974 1041 1141 812 425
"PBANKA_1351100" 162 45 81 237 13 460 581 614 475 208
"PBANKA_1351200" 254 106 94 204 7 740 792 893 700 441
"PBANKA_1351300" 557 125 101 388 54 1322 1513 1724 717 825
"PBANKA_1351400" 42 12 2 25 2 21 15 65 77 30
"PBANKA_1351500" 19 8 6 19 5 23 34 90 111 63
"PBANKA_1351600" 75 47 43 103 7 151 208 290 235 247
"PBANKA_1351700" 464 171 161 404 60 1391 1362 2321 1855 2503
"PBANKA_1351800" 1822 827 632 1495 389 3165 3027 3500 3205 4364
"PBANKA_1351900" 1805 918 998 1968 228 2326 3069 3210 4020 2523
"PBANKA_1352000" 5791 2566 2839 6015 802 9598 10125 10724 10829 9392
"PBANKA_1352100" 992 343 315 864 102 1367 1113 1257 1199 1305
"PBANKA_1352200" 103 41 39 107 22 303 274 305 245 146
"PBANKA_1352300" 355 80 111 362 44 892 1013 1314 640 514
"PBANKA_1352400" 180 107 70 246 17 243 375 572 562 410
"PBANKA_1352500" 2051 869 514 1428 230 82 203 216 274 283
"PBANKA_1352600" 467 91 104 383 31 931 721 793 598 520
"PBANKA_1352700" 757 348 402 848 115 1113 1260 1043 1547 1115
"PBANKA_1352800" 150 49 79 183 5 541 458 646 543 654
"PBANKA_1352900" 154 80 76 204 21 390 435 470 492 540
"PBANKA_1353000" 42 20 22 54 7 128 150 184 102 89
"PBANKA_1353100" 431 131 65 314 23 605 703 568 298 115
"PBANKA_1353200" 34 16 15 38 3 88 137 181 166 192
"PBANKA_1353300" 64 23 45 97 15 218 258 326 170 152
"PBANKA_1353400" 63 34 21 61 6 101 92 142 114 93
"PBANKA_1353500" 283 118 104 275 31 606 568 621 596 504
"PBANKA_1353600" 17 6 8 14 2 35 37 43 33 19
"PBANKA_1353700" 296 92 95 277 21 734 855 855 618 205
"PBANKA_1353800" 3505 1440 789 2383 372 78 346 342 366 323
"PBANKA_1353900" 33 25 27 64 3 55 60 72 16 14
"PBANKA_1354000" 271 110 143 273 51 605 631 706 687 614
"PBANKA_1354100" 392 186 168 371 73 538 710 1352 1362 1808
"PBANKA_1354200" 99 45 19 79 19 98 111 184 201 401
"PBANKA_1354300" 6858 3050 2897 6108 1393 13539 12459 13630 19936 13636
"PBANKA_1354400" 15689 7032 6771 13167 2262 22376 22038 25802 33313 25895
"PBANKA_1354500" 11505 5506 4601 8230 2694 22274 18617 20073 31164 33059
"PBANKA_1354600" 10 2 8 12 0 54 35 71 47 83
"PBANKA_1354700" 50 17 21 63 6 124 131 192 115 111
"PBANKA_1354800" 35 12 5 55 4 36 52 61 53 46
"PBANKA_1354900" 4817 1578 845 3066 453 174 485 354 363 284
"PBANKA_1355000" 1420 604 534 1183 320 2468 2421 2436 3358 3894
"PBANKA_1355100" 14463 6368 6747 12731 2844 23603 22219 23634 26576 20086
"PBANKA_1355200" 1335 517 487 1085 191 3151 3367 3582 3028 3802
"PBANKA_1355300" 22 6 13 45 2 53 54 93 30 24
"PBANKA_1355400" 36 25 17 62 2 158 102 162 114 92
"PBANKA_1355500" 1361 604 637 1205 319 3919 3599 4292 3846 3925
"PBANKA_1355600" 3 4 4 4 0 4 5 12 11 12
"PBANKA_1355700" 5711 2303 1372 4100 866 526 788 1958 2784 2132
"PBANKA_1355800" 520 212 183 396 74 1103 1005 1198 1574 1622
"PBANKA_1355900" 5676 1884 1555 3436 655 2541 2624 2664 2910 3895
"PBANKA_1356000" 601 152 142 472 71 1034 1338 662 385 173
"PBANKA_1356100" 349 140 90 290 47 658 677 1006 936 607
"PBANKA_1356200" 529 243 190 431 86 1181 1184 1313 1489 1507
"PBANKA_1356300" 490 136 137 449 42 1723 2309 2684 1225 1226
"PBANKA_1356400" 813 271 151 467 110 905 1003 1001 638 728
"PBANKA_1356500" 351 131 160 389 48 758 697 1015 921 1095
"PBANKA_1356600" 32 7 21 12 2 143 142 178 100 103
"PBANKA_1356700" 2155 753 668 1507 260 5204 5297 5737 5586 4146
"PBANKA_1356800" 262 83 42 182 11 405 435 305 182 79
"PBANKA_1356900" 482 198 217 536 72 1347 1288 1474 1305 1374
"PBANKA_1357000" 389 88 112 347 34 1102 988 965 685 517
"PBANKA_1357200" 3815 1127 972 3343 385 8183 9264 6655 2935 1938
"PBANKA_1357300" 123 33 21 116 12 109 143 254 145 130
"PBANKA_1357400" 251 116 132 291 42 688 577 720 797 732
"PBANKA_1357500" 1171 380 452 842 158 2341 1819 2072 2116 2128
"PBANKA_1357600" 308 127 125 348 52 881 732 810 616 628
"PBANKA_1357700" 503 191 147 409 85 522 437 592 735 969
"PBANKA_1357800" 2603 821 623 1905 281 4556 4916 3443 2796 1086
"PBANKA_1357900" 213 73 55 178 8 33 50 49 59 39
"PBANKA_1358000" 419 205 215 491 70 694 740 880 1096 814
"PBANKA_1358100" 314 168 141 372 59 918 759 865 818 645
"PBANKA_1358200" 337 151 161 355 61 1056 905 1360 1235 1569
"PBANKA_1358300" 1032 257 210 629 86 1884 2366 1826 758 621
"PBANKA_1358400" 374 122 128 288 82 683 636 887 859 1162
"PBANKA_1358500" 43 15 14 32 10 55 68 108 224 158
"PBANKA_1358600" 1063 453 423 899 220 1579 1525 1869 1532 2180
"PBANKA_1358700" 797 254 296 842 90 2031 1943 1954 1593 1282
"PBANKA_1358800" 288 95 110 303 56 787 652 1070 1030 1441
"PBANKA_1358900" 182 82 68 242 21 284 328 297 266 204
"PBANKA_1359000" 6784 3152 2514 5137 1500 12247 10975 14047 17999 23046
"PBANKA_1359100" 160 57 101 217 11 526 502 654 641 441
"PBANKA_1359200" 4954 2524 2483 4548 1051 9557 7951 8031 12379 7521
"PBANKA_1359300" 1797 462 387 1123 156 2377 3085 1429 974 508
"PBANKA_1359400" 656 212 306 778 101 1883 1628 1939 1492 1136
"PBANKA_1359500" 390 129 131 372 56 794 805 1101 1036 1468
"PBANKA_1359600" 195 133 90 175 25 93 168 178 160 197
"PBANKA_1359700" 317 254 158 393 77 11 48 28 38 26
"PBANKA_1359800" 25 4 14 29 1 49 81 133 158 195
"PBANKA_1359900" 555 200 186 443 82 695 652 683 700 941
"PBANKA_1360000" 204 72 33 138 7 295 363 579 469 734
"PBANKA_1360100" 6184 2886 2707 6044 1079 17626 16313 17142 22515 19888
"PBANKA_1360200" 160 48 52 149 19 352 352 430 522 515
"PBANKA_1360300" 15722 7057 6429 12409 3332 30845 25875 28764 39053 30830
"PBANKA_1360400" 1172 379 326 839 128 176 252 271 360 298
"PBANKA_1360500" 1765 732 673 1555 230 4805 4751 5252 5842 3907
"PBANKA_1360600" 216 69 94 172 15 369 319 416 260 339
"PBANKA_1360700" 681 198 201 558 48 1578 1949 1578 750 694
"PBANKA_1360800" 26 10 8 18 3 11 32 20 29 49
"PBANKA_1360900" 61 33 24 48 11 61 90 228 261 390
"PBANKA_1361000" 131 58 53 176 20 198 202 184 298 224
"PBANKA_1361100" 905 304 281 778 95 1853 1739 1682 1284 832
"PBANKA_1361200" 853 177 149 572 24 915 941 710 363 207
"PBANKA_1361300" 634 224 248 684 108 1357 1166 1394 1235 1233
"PBANKA_1361400" 6 0 0 9 0 6 15 27 38 11
"PBANKA_1361500" 123 83 59 152 12 114 108 270 156 398
"PBANKA_1361600" 76 35 24 72 5 11 12 13 24 16
"PBANKA_1361700" 17 7 22 51 2 63 87 125 87 47
"PBANKA_1361800" 123 80 51 127 24 17 27 37 21 55
"PBANKA_1361900" 197 77 66 159 34 511 460 717 711 881
"PBANKA_1362000" 4356 1807 1786 4002 571 6728 7268 7526 6988 5676
"PBANKA_1362100" 104 26 16 94 5 187 226 284 157 143
"PBANKA_1362200" 171 86 68 149 27 301 270 374 344 331
"PBANKA_1362300" 421 103 127 341 23 1103 1078 1199 552 408
"PBANKA_1362400" 155 76 71 182 22 478 530 923 766 935
"PBANKA_1362500" 63 36 20 59 6 136 110 248 222 189
"PBANKA_1362600" 95 45 68 188 17 283 339 382 383 178
"PBANKA_1362700" 79 15 29 71 17 164 173 168 173 141
"PBANKA_1362800" 20 6 7 38 1 8 8 10 13 18
"PBANKA_1362900" 1653 644 752 1835 263 2452 2305 2812 2858 2786
"PBANKA_1363000" 403 119 157 406 71 880 656 857 1110 1271
"PBANKA_1363100" 77 26 27 107 11 272 282 327 239 108
"PBANKA_1363200" 48 6 18 12 1 94 107 99 70 84
"PBANKA_1363300" 409 160 183 390 71 465 466 644 727 568
"PBANKA_1363400" 75 34 43 98 4 249 230 374 377 348
"PBANKA_1363500" 262 115 122 337 35 522 454 627 543 527
"PBANKA_1363600" 342 111 69 342 12 8 46 51 40 37
"PBANKA_1363700" 32 8 5 40 4 20 28 20 38 8
"PBANKA_1363800" 644 224 144 590 65 1759 2051 1824 933 678
"PBANKA_1363900" 313 126 148 343 68 654 636 834 822 1013
"PBANKA_1364000" 553 151 134 467 41 1768 1944 1794 817 706
"PBANKA_1364100" 150 69 78 202 48 768 612 748 666 446
"PBANKA_1364200" 13400 6256 5646 10331 2753 20076 18848 20472 29169 28496
"PBANKA_1364300" 4155 1775 1393 3021 794 5839 5869 7974 7511 13663
"PBANKA_1364400" 640 130 93 336 24 130 191 273 242 171
"PBANKA_1364500" 170 75 110 239 12 682 753 866 772 386
"PBANKA_1364600" 212 79 97 311 12 762 921 1323 803 655
"PBANKA_1364700" 704 205 174 563 19 1233 1408 1194 575 340
"PBANKA_1364800" 143 58 54 215 13 537 522 582 486 237
"PBANKA_1364900" 280 138 139 423 33 1138 1419 1500 1308 587
"PBANKA_1365000" 4 2 8 9 0 47 40 75 36 15
"PBANKA_1365100" 315 100 75 327 14 987 1096 1116 712 512
"PBANKA_1365200" 2031 742 776 1899 324 4978 5795 9563 8810 12582
"PBANKA_1365300" 552 170 141 537 42 2000 2303 2088 772 489
"PBANKA_1365400" 816 228 252 873 114 1856 2126 1996 1274 1318
"PBANKA_1365500" 59630 29795 25919 45084 10865 105570 93441 101869 166205 102049
"PBANKA_1365600" 506 213 218 627 98 1298 1196 1583 1758 1408
"PBANKA_1365680" 402 155 151 327 79 687 738 742 1152 1125
"PBANKA_1365700" 48 7 24 23 5 1386 73 58 550 47
"PBANKA_1365721" 7 5 1 4 0 6 11 10 0 0
"PBANKA_1400041" 41 20 14 38 2 77 97 42 65 18
"PBANKA_1400051" 23 5 9 10 10 116 274 216 203 85
"PBANKA_1400061" 5 1 1 14 0 30 106 124 167 82
"PBANKA_1400071" 44 42 67 233 27 65 216 142 277 125
"PBANKA_1400081" 1739 961 843 2023 260 36 73 349 101 171
"PBANKA_1400091" 2 5 1 11 1 156 204 151 66 28
"PBANKA_1400100" 28 6 1 32 10 142 1182 1441 1651 578
"PBANKA_1400200" 0 0 1 3 3 27 68 64 52 33
"PBANKA_1400300" 20 11 2 22 8 74 188 438 322 133
"PBANKA_1400400" 1 2 7 5 1 1603 2112 2137 3924 1440
"PBANKA_1400600" 23162 6254 5025 10024 3523 46606 52066 65482 48640 82699
"PBANKA_1400700" 11692 5804 5599 11165 1984 27289 27637 34035 45496 42613
"PBANKA_1400800" 92 45 42 111 24 224 226 350 429 329
"PBANKA_1400900" 281 167 79 268 36 45 99 68 87 77
"PBANKA_1401000" 656 170 154 557 60 1183 1415 1035 490 283
"PBANKA_1401100" 998 490 415 905 131 2206 2294 2468 2461 1987
