"CAPKO_1" "CAPKO_2" "CAPKO_3" "CAPKO_4" "CAPKO_5" "WT_1" "WT_2" "WT_3" "WT_4" "WT_5"
"PBANKA_0307300" 252 93 61 145 49 423 384 458 469 715
"PBANKA_0307400" 95 45 41 129 11 402 530 509 437 236
"PBANKA_0307500" 1 0 0 2 0 8 12 63 90 37
"PBANKA_0307600" 177 84 80 205 33 294 271 369 410 479
"PBANKA_0307700" 3 3 1 2 0 7 10 26 0 3
"PBANKA_0307800" 1269 477 628 1525 131 2890 2923 3481 3279 2101
"PBANKA_0307900" 70 27 49 102 16 262 247 171 158 86
"PBANKA_0308000" 218 101 82 216 19 607 606 761 703 746
"PBANKA_0308100" 779 274 279 689 95 1719 1542 2253 1994 2936
"PBANKA_0308200" 16 13 15 30 4 36 39 81 41 35
"PBANKA_0308300" 310 96 95 298 26 671 720 741 463 406
"PBANKA_0308400" 16 1 6 7 0 39 52 40 47 23
"PBANKA_0308500" 585 195 223 521 74 1762 1750 2117 1678 1006
"PBANKA_0308600" 2479 1138 1204 2947 335 4381 4668 4963 3985 2954
"PBANKA_0308700" 6 2 4 8 4 29 23 44 22 12
"PBANKA_0308800" 66 22 32 76 4 229 287 388 273 197
"PBANKA_0308900" 245 100 65 226 12 1089 993 1087 597 437
"PBANKA_0309000" 222 115 124 314 32 491 475 598 527 549
"PBANKA_0309100" 1910 811 763 1608 371 4072 4012 4303 4710 4069
"PBANKA_0309200" 131 66 48 164 12 407 463 577 382 275
"PBANKA_0309400" 702 256 202 602 76 1536 1781 1373 639 434
"PBANKA_0309500" 15 2 18 19 5 14 39 74 123 78
"PBANKA_0309600" 80 33 39 73 8 170 190 236 200 282
"PBANKA_0309700" 78 20 41 95 4 196 222 297 200 275
"PBANKA_0309800" 330 96 135 264 45 689 545 701 769 830
"PBANKA_0309900" 24 41 34 51 8 220 189 230 192 183
"PBANKA_0310000" 2928 1287 1435 2611 510 6483 6018 6950 8907 7783
"PBANKA_0310100" 422 277 243 474 97 908 887 1172 1213 1398
"PBANKA_0310200" 452 177 221 432 68 882 808 1057 1119 1228
"PBANKA_0310300" 291 87 148 333 30 391 474 579 506 560
"PBANKA_0310400" 268 78 122 307 37 671 669 756 664 574
"PBANKA_0310500" 53 20 35 76 3 198 186 314 188 173
"PBANKA_0310600" 557 239 227 433 150 1094 1173 1319 1658 2054
"PBANKA_0310700" 288 109 79 215 22 63 82 99 65 30
"PBANKA_0310800" 391 156 161 516 46 1158 1312 1175 1173 662
"PBANKA_0310900" 3425 1349 1426 3334 465 6302 6452 6778 5836 4588
"PBANKA_0311000" 5117 1591 1592 3751 769 9430 9120 8379 7612 6786
"PBANKA_0311100" 562 255 267 464 94 1353 1192 1623 1561 3029
"PBANKA_0311200" 528 186 262 605 58 1423 1576 1888 1906 863
